Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,821.250000,830.713013,819.775024,692.411194,827.650024,171320
2014-04-02,836.000000,837.138000,825.000000,694.419067,830.049988,145024
2014-04-03,833.000000,836.250000,830.000000,698.267334,834.650024,107676
2014-04-04,835.750000,838.687988,825.750000,693.436096,828.875000,117436
2014-04-07,827.500000,830.000000,799.000000,688.363892,822.812012,94340
2014-04-09,822.812012,825.000000,807.750000,680.385132,813.275024,394904
2014-04-10,816.000000,816.000000,796.650024,670.659607,801.650024,212216
2014-04-11,797.562012,814.000000,791.250000,676.777710,808.963013,423984
2014-04-15,808.963013,842.950012,808.963013,681.921936,815.112000,2013628
2014-04-16,814.250000,814.250000,787.500000,660.160278,789.099976,471816
2014-04-17,793.750000,801.987000,789.500000,667.166809,797.474976,226172
2014-04-21,797.474976,804.250000,792.500000,665.357361,795.312012,138084
2014-04-22,794.849976,800.000000,785.750000,658.800903,787.474976,177156
2014-04-23,791.325012,797.500000,791.250000,663.580383,793.187988,147448
2014-04-24,793.187988,793.187988,793.187988,663.580383,793.187988,0
2014-04-25,795.000000,798.599976,791.174988,663.893250,793.562012,112448
2014-04-28,793.174988,798.250000,793.174988,664.708923,794.536987,102652
2014-04-29,793.125000,798.763000,793.125000,664.803467,794.650024,106120
2014-04-30,795.687988,797.750000,792.299988,664.510681,794.299988,1013936
2014-05-02,794.299988,811.062012,794.299988,673.420471,804.950012,115220
2014-05-05,797.500000,807.862000,792.775024,664.290588,794.036987,103396
2014-05-06,793.875000,795.525024,788.500000,661.780701,791.036987,89788
2014-05-07,787.750000,791.250000,762.911987,640.928589,766.112000,414020
2014-05-08,767.500000,772.000000,761.625000,640.614807,765.737000,201640
2014-05-09,765.737000,780.000000,763.838013,649.493713,776.349976,166372
2014-05-12,780.000000,797.513000,776.224976,664.656982,794.474976,407136
2014-05-13,795.013000,821.250000,795.013000,682.978516,816.375000,297476
2014-05-14,808.750000,815.325012,804.500000,679.088318,811.724976,135008
2014-05-15,811.312012,821.250000,802.974976,684.003418,817.599976,175832
2014-05-16,818.750000,834.349976,765.286987,664.647034,794.463013,489768
2014-05-19,800.250000,800.250000,751.250000,632.207886,755.687988,904960
2014-05-20,763.275024,783.250000,759.838013,652.348999,779.763000,237744
2014-05-21,779.250000,789.474976,774.325012,658.957336,787.661987,135940
2014-05-22,788.875000,793.411987,770.763000,649.870056,776.799988,204148
2014-05-23,780.500000,791.799988,752.500000,641.357727,766.625000,297644
2014-05-26,771.250000,777.200012,763.549988,647.078491,773.463013,189752
2014-05-27,775.000000,789.500000,775.000000,655.454346,783.474976,185964
2014-05-28,782.500000,797.000000,780.862000,663.464844,793.049988,128104
2014-05-29,760.000000,760.000000,728.750000,646.680298,731.075012,1617620
2014-05-30,736.250000,738.750000,723.500000,650.484009,735.375000,3969168
2014-06-02,737.500000,750.000000,737.500000,661.983215,748.375000,390460
2014-06-03,750.562012,759.025024,743.911987,666.826172,753.849976,252420
2014-06-04,752.500000,756.025024,739.525024,662.027466,748.424988,301104
2014-06-05,748.312012,765.799988,741.750000,671.812500,759.487000,352540
2014-06-06,752.250000,753.150024,739.036987,663.376465,749.950012,601856
2014-06-09,752.525024,753.750000,744.500000,660.258423,746.424988,302928
2014-06-10,749.750000,770.213013,749.750000,678.281250,766.799988,301572
2014-06-11,774.750000,813.750000,774.750000,702.949829,794.687988,983216
2014-06-12,819.000000,824.500000,780.161987,700.262634,791.650024,1093716
2014-06-13,796.500000,801.250000,783.036987,703.590332,795.411987,386652
2014-06-16,798.000000,814.500000,795.250000,716.980774,810.549988,337036
2014-06-17,813.750000,816.250000,804.724976,718.097229,811.812012,185300
2014-06-18,814.750000,818.500000,803.900024,717.500916,811.138000,308536
2014-06-19,812.000000,830.625000,811.500000,732.504883,828.099976,347756
